Id,Company,Close date,Status,Funding (equity),Funding (debt),Valuation (post-money),Report date,Source 1,Source 2,Source 3,Graph note,Notes,Type,Confidence,Exclude from graph view
Sep 2025 10B,xAI,,Late discussions,10000000000.0,,200000000000.0,2025-09-19,https://www.bloomberg.com/news/articles/2025-09-19/musk-s-xai-raises-10-billion-at-200-billion-valuation,https://www.wsj.com/tech/ai/elon-musk-x-ai-funding-feecede1,,"Valuation includes value of X, formerly Twitter (~33B)","From Bloomberg, 10B in equity now, 3.5B in debt under negotiation:

""Elon Musk’s artificial intelligence startup xAI has raised new funding at a $200 billion valuation, according to a person familiar with the deal, making it one of the world’s most valuable startups.

The over $10 billion round includes investment from Valor Capital, the Qatar Investment Authority and Prince Al Waleed bin Talal via his Kingdom Holding Co., said the person, who asked not to be identified in order to discuss private business dealings.

As part of the round, the company is also aiming to raise $3.5 billion of debt for data center expansion, a separate person with knowledge of the matter said. The size of that financing is still being finalized as it was contingent on raising equity first, the person added.""

While Bloomberg describes it, Elon Musk disputes:
https://x.com/elonmusk/status/1969117472520282370 ","Primary,Debt",Likely,
300B final stage,OpenAI,,Late discussions,20000000000.0,,300000000000.0,2025-03-31,https://www.nytimes.com/2025/03/31/technology/openai-valuation-300-billion.html,,,,"Softbank will transfer ~20B to OpenAI by 2025-end

""The new investment will be made in two parts, according to a person familiar with the deal who spoke on the condition of anonymity. An initial $10 billion will arrive immediately, with another $30 billion arriving by the end of the year, the person said.

SoftBank Group is providing 75 percent of the total, with the rest coming from other investors, including Microsoft, Thrive Capital, Coatue and Altimeter, the person said. Microsoft and Thrive Capital led previous investment rounds in OpenAI.""",Primary,Likely,
OpenAI–Nvidia,OpenAI,,Late discussions,100000000000.0,,,2025-09-22,https://openai.com/index/openai-nvidia-systems-partnership/,,,,"Nvidia has agreed to invest $100B in OpenAI as part of an AI data center deal. This will be phased in as each GW is deployed, so nothing is closed yet.

""Strategic partnership enables OpenAI to build and deploy at least 10 gigawatts of AI datacenters with NVIDIA systems representing millions of GPUs for OpenAI’s next-generation AI infrastructure. 
To support the partnership, NVIDIA intends to invest up to $100 billion in OpenAI progressively as each gigawatt is deployed.
The first gigawatt of NVIDIA systems will be deployed in the second half of 2026 on NVIDIA’s Vera Rubin platform.""",Primary,Confident,
2019 LP seed (Khosla),OpenAI,2019-03-11,Closed,50000000.0,,,2019-03-11,https://openai.com/index/openai-lp/,https://finance.yahoo.com/news/vinod-khosla-details-much-venture-134826473.html,https://www.theinformation.com/articles/will-new-openai-one-chart?rc=9mzoog,Khosla Venture's portion of OpenAI's 2019 seed round; full amount not known,"per Source 2, Khosla invested $50M in 2019, so the amount raised was at least $50M; possibly several times higher, since Reid Hoffman's foundation is listed as the first investor, though OpenAI does not say Hoffman is the lead investor.

OpenAI announced OpenAI LP, a capped-profit LLC, on March 11, 2019.
""investors include Reid Hoffman’s charitable foundation and Khosla Ventures, among others.""

Total funding and valuation not disclosed

For what it is worth, The Information estimates that the original 2019 investors will own 1% of OpenAI. This is after many rounds of dilution over the years, and 1% may be a rough estimate.",Primary,Likely,
2019 LP seed (Other),OpenAI,2019-03-11,Closed,,,,2019-03-11,https://openai.com/index/openai-lp/,https://finance.yahoo.com/news/vinod-khosla-details-much-venture-134826473.html,https://www.theinformation.com/articles/will-new-openai-one-chart?rc=9mzoog,,"OpenAI announced OpenAI LP, a capped-profit LLC, on March 11, 2019.
""investors include Reid Hoffman’s charitable foundation and Khosla Ventures, among others.""

Valuation and funding not disclosed

per Source 2, Khosla invested $50M in 2019, so the amount raised was at least $50M; possibly several times higher, since Reid Hoffman's foundation is listed as the first investor, though OpenAI does not say Hoffman is the lead investor.

Size of remaining raise unknown.

For what it is worth, The Information estimates that the original 2019 investors will own 1% of OpenAI. This is after many rounds of dilution over the years, and 1% may be a rough estimate.",Primary,Likely,
2019 Microsoft 1B,OpenAI,2019-07-22,Closed,1000000000.0,,,2019-07-22,https://news.microsoft.com/source/2019/07/22/openai-forms-exclusive-computing-partnership-with-microsoft-to-build-new-azure-ai-supercomputing-technologies/,,,,"""Multiyear partnership founded on shared values of trustworthiness and empowerment, and an investment of $1 billion from Microsoft, will focus on building a platform that OpenAI will use to create new AI technologies and deliver on the promise of artificial general intelligence.""

Likely a mix of cash + compute credits

Valuation unknown, with little consensus among secondary sources. ",Primary,Confident,
March 2021 Microsoft 2B,OpenAI,2021-03-15,Closed,2000000000.0,,,2023-01-12,https://www.nytimes.com/2023/01/12/technology/microsoft-openai-chatgpt.html,https://www.gov.uk/cma-cases/microsoft-slash-openai-partnership-merger-inquiry,,,"NYT reports that Microsoft invested 2B after their initial 1B investment, and before their 10B investment in Jan 2023. 

""In 2019, Microsoft invested $1 billion in OpenAI, the tiny San Francisco company that designed ChatGPT. And in the years since, it has quietly invested another $2 billion, according to two people familiar with the investment who requested anonymity because they were not authorized to speak with the media.""

The UK Competition and Markets Authority (Source 2, click ""Full text decision"") notes an investment date of March 2021, with a redacted amount; this most likely refers to the same investment.

""Microsoft is the largest investor in OpenAI, having invested over $13 billion, including $1 billion in July 2019, $[X] billion in March 2021, $10 billion in
January 2023, and a further substantial sum ($[X]) in October 2024. ""

Valuation not known",Primary,Likely,
May 2021 Series A,Anthropic,2021-05-28,Closed,124000000.0,,674000000.0,2021-05-28,https://www.anthropic.com/news/anthropic-raises-124-million-to-build-more-reliable-general-ai-systems,,,,"Valuation not disclosed by Anthropic. pre-money valuation was $550M per Crunchbase

""The Series A round was led by Jaan Tallinn, technology investor and co-founder of Skype. The round included participation from James McClave, Dustin Moskovitz, the Center for Emerging Risk Research, Eric Schmidt, and others.""",Primary,Confident,
14B tender,OpenAI,2021-07-01,Closed,0.0,,14000000000.0,2023-01-05,https://www.wsj.com/articles/chatgpt-creator-openai-is-in-talks-for-tender-offer-that-would-value-it-at-29-billion-11672949279b,https://news.crunchbase.com/ai-robotics/openai-chatgpt-tender-offer/,,,"Crunchbase news, relaying WSJ reporting:

""Such a deal would more than double the $14 billion valuation set during OpenAI’s most recent tender offer, in 2021. More recently, it was valued at $20 billion via a secondary sale.""

Size of the sale not disclosed in any reporting. Date is uncertain, beyond ""2021"", recording as mid-2021.",Secondary,Uncertain,
Apr 2022 Series B ,Anthropic,2022-04-29,Closed,580000000.0,,3700000000.0,2022-04-29,https://www.anthropic.com/news/anthropic-raises-series-b-to-build-safe-reliable-ai ,,,,"Anthropic announced that they ""raised $580 million in a Series B"", but without disclosing valuation/

Some sources, eg here, describe this as a 4B funding round: https://www.nextplatform.com/2025/03/03/anthropic-raises-285-million-gpu-hours-equivalent-in-series-e-funding/ 

FTX bankruptcy documents (Case 22-11068-JTD Doc 6952) reveal (page 3) that FTX acquired a 13.56% share of Anthropic for $500M, closing on April 30, 2022. $500M / 0.1356 = 3,687,315,634, or ~$3.7B.

https://storage.courtapi.com/download/s3/1708700292/czM6Ly9pbmZvcnVwdGN5LXN0b3JhZ2UvcGFjZXIvZGVia2UvMTg4NDUwL2RvY2tldHMvNjk1Mi4wMDAwMC8xLUYzRDU2QzdDLUMyNTktMTFFRS1CNEJFLThENTJFMDE3M0I2NQ/Bankr.D.Del._1-22-bk-11068_6952.pdf?signature=qrO83-NjWwxH5bY7xeUF4kioL3wieEz65nbomr28c4o&utm_source=chatgpt.com ",Primary,Confident,
Jan 2023 Microsoft,OpenAI,2023-01-23,Closed,10000000000.0,,,2023-04-28,https://openai.com/index/openai-and-microsoft-extend-partnership/ ,https://techcrunch.com/2023/04/28/openai-funding-valuation-chatgpt ,https://www.bloomberg.com/news/articles/2023-01-23/microsoft-makes-multibillion-dollar-investment-in-openai ,,"This is a complicated round, and the key numbers come from reporting, not company announcements. OpenAI confirmed a new Microsoft investment on January 23, 2023, but with no numbers:
https://openai.com/index/openai-and-microsoft-extend-partnership/ 

Reportedly, Microsoft invested ~$10B in OpenAI around January 2023. Per Bloomberg, much of this investment was in the form of cloud compute, not cash: ""As with Microsoft’s previous investment in OpenAI, much of the value of the deal will take the form of Microsoft giving OpenAI the Azure cloud-computing horsepower needed to run its AI systems, said two people familiar with the deal.""

Per TechCrunch, Microsoft's funding  in January, in the amount of $10b: ""The size of Microsoft’s investment is believed to be around $10 billion, a figure we confirmed with our source.""

The valuation was never confirmed, but this was followed by a VC tender round in April 2023 valuing OAI at $27-29B. ",Primary,Likely,
Apr 2023 27B,OpenAI,2023-04-26,Closed,300000000.0,,27000000000.0,,https://www.reuters.com/markets/deals/openai-closes-10-bln-funding-round-27-bln-29-bln-valuation-techcrunch-2023-04-28/,,,,"Reuters says 27-29B, later The Information report just references 27B (https://www.theinformation.com/articles/openai-passes-1-billion-revenue-pace-as-big-companies-boost-ai-spending?rc=4ylmkj)",Primary,Confident,
May 2023 Series C,Anthropic,2023-05-23,Closed,450000000.0,,4500000000.0,2023-05-23,https://www.anthropic.com/news/anthropic-series-c ,,,,"Anthropic did not explicitly disclose valuation.

Reuters says ""sources put it at nearly $5 billion.""

https://www.reuters.com/markets/deals/alphabet-backed-ai-startup-anthropic-raises-450-million-funding-freeze-thaws-2023-05-23/

Crunchbase says pre-money valuation of 4B, for a post-money valuation >$4.45B

https://www.crunchbase.com/funding_round/anthropic-series-c--c12aea10 

Will list as $4.5B, with a small amount of uncertainty",Primary,Likely,
